model,origin,target,horizon,variable,lpl,crps
GP-VAR-8 SV,2017-12-31,2018-03-31,1,FFR,-0.6675110024740853,0.3931945706868314
GP-VAR-8 SV,2017-12-31,2018-12-31,4,joint,-3.657293978479142,
GP-VAR-8 SV,2017-12-31,2018-12-31,4,RGDP,-1.197930083521777,0.7065908515230848
GP-VAR-8 SV,2017-12-31,2018-12-31,4,CPI,-0.9929401853723338,0.5302471518111411
GP-VAR-8 SV,2017-12-31,2018-12-31,4,FFR,-1.4486084419791294,0.8617878654289735
GP-VAR-8 SV,2018-12-31,2019-03-31,1,joint,-2.0998469492765803,
GP-VAR-8 SV,2018-12-31,2019-03-31,1,RGDP,-0.6585842747344941,0.408211294162769
GP-VAR-8 SV,2018-12-31,2019-03-31,1,CPI,-0.7340763868831298,0.48007340932032183
GP-VAR-8 SV,2018-12-31,2019-03-31,1,FFR,-0.6793293576286071,0.4103480707752706
GP-VAR-8 SV,2018-12-31,2019-12-31,4,joint,-3.8472356023566974,
GP-VAR-8 SV,2018-12-31,2019-12-31,4,RGDP,-1.5323149729462444,0.965734947019284
GP-VAR-8 SV,2018-12-31,2019-12-31,4,CPI,-0.9262037160239966,0.5057294399475507
GP-VAR-8 SV,2018-12-31,2019-12-31,4,FFR,-1.3654066491807701,0.8193396334201659
GP-VAR-8 homoskedastic,2007-12-31,2008-03-31,1,joint,-4.186429814178187,
GP-VAR-8 homoskedastic,2007-12-31,2008-03-31,1,RGDP,-1.0480114189586291,0.633741335724568
GP-VAR-8 homoskedastic,2007-12-31,2008-03-31,1,CPI,-0.7921115821671416,0.47603720200635663
GP-VAR-8 homoskedastic,2007-12-31,2008-03-31,1,FFR,-2.1326409149175753,1.4056898165298661
GP-VAR-8 homoskedastic,2007-12-31,2008-12-31,4,joint,-7.179908361470137,
GP-VAR-8 homoskedastic,2007-12-31,2008-12-31,4,RGDP,-4.0651405029695,3.0239756642716444
GP-VAR-8 homoskedastic,2007-12-31,2008-12-31,4,CPI,-1.6844063031018175,1.1724432757659007
GP-VAR-8 homoskedastic,2007-12-31,2008-12-31,4,FFR,-2.7587226727217606,2.639361052654494
GP-VAR-8 homoskedastic,2008-12-31,2009-03-31,1,joint,-7.3765435913547375,
GP-VAR-8 homoskedastic,2008-12-31,2009-03-31,1,RGDP,-2.52160047911362,1.8777030709471916
GP-VAR-8 homoskedastic,2008-12-31,2009-03-31,1,CPI,-2.9569597690284497,1.7609437032360042
GP-VAR-8 homoskedastic,2008-12-31,2009-03-31,1,FFR,-1.338369329327123,0.7952491474019456
GP-VAR-8 homoskedastic,2008-12-31,2009-12-31,4,joint,-5.74661772438399,
GP-VAR-8 homoskedastic,2008-12-31,2009-12-31,4,RGDP,-2.6425865791957044,2.2434407353804975
GP-VAR-8 homoskedastic,2008-12-31,2009-12-31,4,CPI,-1.7646974565378866,1.2206111259858865
GP-VAR-8 homoskedastic,2008-12-31,2009-12-31,4,FFR,-1.8470125483349151,1.4547698472121655
GP-VAR-8 homoskedastic,2009-12-31,2010-03-31,1,joint,-3.97689077524357,
GP-VAR-8 homoskedastic,2009-12-31,2010-03-31,1,RGDP,-1.3509477994740662,0.794168101185235
GP-VAR-8 homoskedastic,2009-12-31,2010-03-31,1,CPI,-1.0713767025024619,0.6070980168070059
GP-VAR-8 homoskedastic,2009-12-31,2010-03-31,1,FFR,-1.7168345679400339,1.238428227646747
GP-VAR-8 homoskedastic,2009-12-31,2010-12-31,4,joint,-6.24134915240529,
GP-VAR-8 homoskedastic,2009-12-31,2010-12-31,4,RGDP,-1.614828337648348,1.0642712645147547
GP-VAR-8 homoskedastic,2009-12-31,2010-12-31,4,CPI,-2.6871681564183354,1.9190650171897161
GP-VAR-8 homoskedastic,2009-12-31,2010-12-31,4,FFR,-2.9960334708785332,2.771341588033495
GP-VAR-8 homoskedastic,2010-12-31,2011-03-31,1,joint,-3.4757277102982145,
GP-VAR-8 homoskedastic,2010-12-31,2011-03-31,1,RGDP,-0.9461857631767651,0.5439233520898368
GP-VAR-8 homoskedastic,2010-12-31,2011-03-31,1,CPI,-1.103050827535484,0.6482656556561588
GP-VAR-8 homoskedastic,2010-12-31,2011-03-31,1,FFR,-1.3371475182499144,0.838384401219664
GP-VAR-8 homoskedastic,2010-12-31,2011-12-31,4,joint,-4.975153340835865,
GP-VAR-8 homoskedastic,2010-12-31,2011-12-31,4,RGDP,-1.5193634498966961,0.9991193130370681
GP-VAR-8 homoskedastic,2010-12-31,2011-12-31,4,CPI,-1.2891841976441007,0.7695858755267238
GP-VAR-8 homoskedastic,2010-12-31,2011-12-31,4,FFR,-2.0689567326569867,1.778065718352126
GP-VAR-8 homoskedastic,2011-12-31,2012-03-31,1,joint,-3.4699145633476447,
GP-VAR-8 homoskedastic,2011-12-31,2012-03-31,1,RGDP,-1.439067666526426,0.8629203961243117
GP-VAR-8 homoskedastic,2011-12-31,2012-03-31,1,CPI,-0.7202993677135698,0.4289072259279182
GP-VAR-8 homoskedastic,2011-12-31,2012-03-31,1,FFR,-1.2484765704861351,0.7620601839735783
GP-VAR-8 homoskedastic,2011-12-31,2012-12-31,4,joint,-4.352421446515665,
GP-VAR-8 homoskedastic,2011-12-31,2012-12-31,4,RGDP,-1.3502999075555175,0.7565026194052915
GP-VAR-8 homoskedastic,2011-12-31,2012-12-31,4,CPI,-1.2963983174069589,0.7802632926336475
GP-VAR-8 homoskedastic,2011-12-31,2012-12-31,4,FFR,-1.8734784854253577,1.5008674105123254
GP-VAR-8 homoskedastic,2012-12-31,2013-03-31,1,joint,-2.8792145921451024,
GP-VAR-8 homoskedastic,2012-12-31,2013-03-31,1,RGDP,-0.8071886115868534,0.4566250833973108
GP-VAR-8 homoskedastic,2012-12-31,2013-03-31,1,CPI,-0.9668708654223914,0.5822180987723904
GP-VAR-8 homoskedastic,2012-12-31,2013-03-31,1,FFR,-1.2352463362941282,0.7656868761678678
GP-VAR-8 homoskedastic,2012-12-31,2013-12-31,4,joint,-5.46597386654081,
GP-VAR-8 homoskedastic,2012-12-31,2013-12-31,4,RGDP,-1.4347644153251502,0.8463328727957766
GP-VAR-8 homoskedastic,2012-12-31,2013-12-31,4,CPI,-2.2591314526375483,1.5770240373068807
GP-VAR-8 homoskedastic,2012-12-31,2013-12-31,4,FFR,-1.9691324956809906,1.6460342678692608
GP-VAR-8 homoskedastic,2013-12-31,2014-03-31,1,joint,-3.827140668692971,
GP-VAR-8 homoskedastic,2013-12-31,2014-03-31,1,RGDP,-2.1351236544193526,1.1745202982702159
GP-VAR-8 homoskedastic,2013-12-31,2014-03-31,1,CPI,-0.7603629690632665,0.4570585857588853
GP-VAR-8 homoskedastic,2013-12-31,2014-03-31,1,FFR,-1.0674307400230725,0.6084707086829315
GP-VAR-8 homoskedastic,2013-12-31,2014-12-31,4,joint,-4.447904728583341,
